Date,Close,MA_20,MA_50
2024-04-03,122.5,124.8,131.505
2024-04-04,116.75,124.1625,130.44
2024-04-05,117.75,123.8,129.595
2024-04-08,115.75,123.4625,128.91
2024-04-09,115.25,122.725,128.865
2024-04-10,112.75,122.225,129.11
2024-04-11,119.0,122.05,129.37
2024-04-12,116.0,121.6,129.685
2024-04-15,110.0,120.6625,128.96
2024-04-16,106.25,119.725,128.165
2024-04-17,102.75,118.6125,127.365
2024-04-18,127.25,118.725,127.06
2024-04-19,102.75,117.4625,126.725
2024-04-22,100.0,116.3375,126.05
2024-04-23,125.0,116.3375,125.925
2024-04-24,114.5,116.05,125.59
2024-04-25,102.0,114.8875,124.99
2024-04-26,106.0,113.9875,124.31
2024-04-29,104.25,112.95,123.495
2024-04-30,105.0,112.075,122.215
2024-05-01,107.5,111.325,121.615
2024-05-02,107.5,110.8625,121.09
2024-05-03,107.5,110.35,120.2
2024-05-06,113.5,110.2375,119.81
2024-05-07,112.25,110.0875,119.035
2024-05-08,107.5,109.825,118.41
2024-05-09,105.25,109.1375,117.78
2024-05-10,103.75,108.525,117.28
2024-05-13,106.5,108.35,116.81
2024-05-14,105.0,108.2875,116.36
2024-05-15,100.75,108.1875,115.84
2024-05-16,104.75,107.0625,115.345
2024-05-17,116.5,107.75,115.175
2024-05-20,107.5,108.125,114.875
2024-05-21,108.75,107.3125,114.45
2024-05-22,102.75,106.725,114.05
2024-05-23,105.0,106.875,113.7
2024-05-24,108.0,106.975,113.36
2024-05-28,107.75,107.15,112.94
2024-05-29,102.5,107.025,112.49
2024-05-30,102.5,106.775,112.04
2024-05-31,101.25,106.4625,111.565
2024-06-03,100.0,106.0875,111.005
2024-06-04,102.5,105.5375,110.605
2024-06-05,103.75,105.1125,110.18
2024-06-06,100.0,104.7375,109.775
2024-06-07,100.25,104.4875,109.275
2024-06-10,101.25,104.3625,108.82
2024-06-11,101.0,104.0875,108.34
2024-06-12,101.0,103.8875,107.91
2024-06-13,124.75,105.0875,107.955
2024-06-14,105.5,105.125,107.73
2024-06-17,102.75,104.4375,107.43
2024-06-18,106.25,104.375,107.24
2024-06-20,107.5,104.3125,107.085
2024-06-21,105.0,104.425,106.93
2024-06-24,104.5,104.4,106.64
2024-06-25,96.25,103.8125,106.245
2024-06-26,102.5,103.55,106.095
2024-06-27,107.5,103.8,106.12
2024-06-28,97.5,103.55,106.015
2024-07-01,96.5,103.3125,105.4
2024-07-02,92.5,102.9375,105.195
2024-07-03,97.0,102.6625,105.135
2024-07-05,96.25,102.2875,104.56
2024-07-08,91.75,101.875,104.105
2024-07-09,87.5,101.2375,103.815
2024-07-10,88.5,100.6,103.465
2024-07-11,93.0,100.2,103.24
2024-07-12,95.0,99.9,103.04
2024-07-15,93.75,98.35,102.765
2024-07-16,89.0,97.525,102.395
2024-07-17,82.5,96.5125,101.895
2024-07-18,94.0,95.9,101.505
2024-07-19,90.75,95.0625,101.075
2024-07-22,89.75,94.3,100.72
2024-07-23,91.0,93.625,100.435
2024-07-24,110.0,94.3125,100.56
2024-07-25,84.25,93.4,100.115
2024-07-26,85.0,92.275,99.715
2024-07-29,86.25,91.7125,99.425
2024-07-30,83.5,91.0625,99.0
